datum;nummer1;nummer2;nummer3;nummer4;nummer5;zz1;zz2;spielEinsatz;anzahlKlasse1;quoteKlasse1;anzahlKlasse2;quoteKlasse2;anzahlKlasse3;quoteKlasse3;anzahlKlasse4;quoteKlasse4;anzahlKlasse5;quoteKlasse5;anzahlKlasse6;quoteKlasse6;anzahlKlasse7;quoteKlasse7;anzahlKlasse8;quoteKlasse8;anzahlKlasse9;quoteKlasse9;anzahlKlasse10;quoteKlasse10;anzahlKlasse11;quoteKlasse11;anzahlKlasse12;quoteKlasse12;tag
03.08.2012;12;15;18;24;25;4;5;14.542.212,00 €;0;0,00 €;3;121.185,10 €;3;31.508,10 €;44;1.983,00 €;463;149,10 €;521;83,70 €;1.544;40,00 €;18.375;16,20 €;21.163;11,90 €;21.851;11,90 €;99.633;8,70 €;241.237;6,90 €;Fr
10.08.2012;6;11;40;46;48;3;6;21.983.676,00 €;0;0,00 €;1;27.545.857,50 €;1;142.893,80 €;32;4.121,90 €;324;322,20 €;417;158,10 €;1.804;51,70 €;16.917;26,60 €;29.266;15,30 €;21.101;15,30 €;168.765;8,70 €;270.833;8,70 €;Fr
17.08.2012;3;16;30;34;35;2;5;11.979.506,00 €;0;0,00 €;1;299.487,60 €;1;77.866,70 €;28;2.567,00 €;204;278,90 €;239;150,30 €;1.035;49,10 €;10.605;23,10 €;15.691;14,80 €;12.730;14,80 €;88.643;8,30 €;161.747;8,30 €;Fr
24.08.2012;9;20;21;33;49;5;7;11.502.104,00 €;1;11.265.231,40 €;3;95.850,80 €;2;37.381,80 €;36;1.917,00 €;301;181,50 €;348;99,10 €;978;49,90 €;11.962;19,70 €;14.131;14,70 €;13.289;14,70 €;74.170;9,30 €;169.988;7,70 €;Fr
31.08.2012;8;22;28;40;42;4;8;11.568.548,00 €;0;0,00 €;1;289.213,70 €;1;75.195,50 €;23;3.017,80 €;310;177,20 €;359;96,60 €;1.112;44,20 €;11.511;20,60 €;15.486;13,50 €;14.609;13,50 €;76.299;9,00 €;157.967;8,40 €;Fr
07.09.2012;15;23;25;46;49;2;4;11.642.882,00 €;0;0,00 €;0;0,00 €;2;37.839,30 €;13;5.373,60 €;224;246,80 €;220;158,70 €;754;65,60 €;10.124;23,50 €;12.582;16,20 €;12.707;16,20 €;67.352;10,30 €;159.340;8,30 €;Fr
14.09.2012;10;14;15;24;47;4;8;11.707.412,00 €;0;0,00 €;0;0,00 €;2;38.049,00 €;16;4.390,20 €;186;298,90 €;262;134,00 €;858;57,90 €;10.266;23,30 €;13.956;14,90 €;13.723;14,90 €;75.536;9,20 €;158.272;8,40 €;Fr
21.09.2012;18;29;41;44;49;1;5;12.088.106,00 €;0;0,00 €;1;885.960,00 €;0;0,00 €;19;3.817,20 €;197;291,40 €;261;138,90 €;810;63,40 €;10.014;24,70 €;12.625;16,50 €;13.236;16,40 €;71.735;10,10 €;149.762;9,20 €;Fr
28.09.2012;5;14;16;34;39;1;6;12.677.730,00 €;0;0,00 €;1;316.943,20 €;0;0,00 €;13;5.851,20 €;240;250,90 €;305;124,60 €;786;68,50 €;11.277;23,10 €;12.017;18,10 €;16.277;14,00 €;64.857;11,70 €;165.932;8,70 €;Fr
05.10.2012;26;28;40;49;50;2;7;12.893.822,00 €;0;0,00 €;0;0,00 €;0;0,00 €;26;2.975,40 €;218;280,90 €;240;161,10 €;1.063;51,50 €;10.117;26,10 €;17.832;14,90 €;12.510;14,90 €;103.880;8,30 €;166.075;8,30 €;Fr
12.10.2012;6;11;17;43;49;4;8;13.597.774,00 €;0;0,00 €;2;331.821,00 €;1;331.821,00 €;17;4.799,20 €;237;272,50 €;355;114,90 €;1.048;55,10 €;12.053;23,10 €;16.503;14,20 €;17.306;14,10 €;89.990;9,00 €;186.759;8,30 €;Fr
19.10.2012;6;14;18;19;48;3;8;13.938.986,00 €;0;0,00 €;0;0,00 €;0;0,00 €;23;3.636,20 €;271;244,30 €;331;126,30 €;1.115;53,10 €;13.694;20,80 €;16.891;14,60 €;16.664;14,60 €;88.813;9,40 €;209.995;7,60 €;Fr
26.10.2012;7;17;18;19;22;4;5;14.364.334,00 €;1;21.320.215,00 €;0;0,00 €;4;45.992,80 €;37;2.329,30 €;375;181,90 €;475;90,70 €;1.435;42,50 €;16.993;17,30 €;19.783;12,50 €;21.684;11,90 €;98.609;8,70 €;238.176;6,90 €;Fr
02.11.2012;3;5;7;12;31;5;7;12.114.622,00 €;0;0,00 €;4;252.612,10 €;3;26.248,30 €;83;875,70 €;574;100,20 €;620;58,60 €;2.365;21,70 €;19.793;12,50 €;20.298;10,50 €;20.114;10,50 €;81.565;8,90 €;222.390;6,20 €;Fr
09.11.2012;25;29;38;41;44;3;8;11.851.646,00 €;0;0,00 €;1;296.291,10 €;2;38.517,80 €;19;3.742,60 €;199;282,80 €;271;131,10 €;883;57,00 €;10.576;22,90 €;13.374;15,90 €;12.793;15,90 €;72.945;9,70 €;159.636;8,50 €;Fr
16.11.2012;1;4;7;21;26;4;7;12.104.422,00 €;0;0,00 €;0;0,00 €;1;78.678,70 €;57;1.274,10 €;322;178,50 €;393;92,40 €;1.826;28,10 €;14.107;17,50 €;19.533;11,80 €;16.449;11,80 €;86.602;8,30 €;188.874;7,30 €;Fr
23.11.2012;1;21;32;36;50;2;5;12.081.500,00 €;0;0,00 €;0;0,00 €;0;0,00 €;15;4.832,60 €;189;303,60 €;258;140,40 €;799;64,20 €;9.889;25,00 €;13.429;16,70 €;11.978;16,70 €;82.320;9,00 €;151.919;9,00 €;Fr
30.11.2012;2;13;21;24;37;6;7;12.681.674,00 €;0;0,00 €;1;921.689,90 €;3;53.653,50 €;18;4.227,20 €;355;169,60 €;474;80,20 €;919;58,60 €;17.245;16,30 €;12.012;16,30 €;18.794;12,40 €;60.891;12,40 €;208.200;6,90 €;Fr
07.12.2012;13;20;22;27;42;3;5;12.764.982,00 €;0;0,00 €;2;159.562,20 €;1;82.972,30 €;28;2.735,30 €;289;209,80 €;357;107,20 €;1.430;37,90 €;14.120;18,50 €;19.604;12,40 €;16.456;12,40 €;101.225;7,50 €;197.966;7,30 €;Fr
14.12.2012;17;28;31;35;39;5;8;13.442.856,00 €;0;0,00 €;5;67.214,20 €;0;0,00 €;18;4.480,90 €;320;199,50 €;438;92,00 €;1.096;52,10 €;13.840;19,90 €;14.587;15,80 €;18.072;13,30 €;76.070;10,60 €;186.184;8,20 €;Fr
21.12.2012;11;20;24;25;35;4;8;14.728.128,00 €;0;0,00 €;0;0,00 €;1;183.111,30 €;22;4.016,70 €;233;300,20 €;335;131,80 €;1.199;52,20 €;13.089;23,00 €;17.722;14,80 €;17.323;14,80 €;98.486;8,90 €;201.039;8,40 €;Fr
28.12.2012;5;8;22;32;39;7;8;14.895.538,00 €;0;0,00 €;3;246.863,80 €;4;24.205,20 €;13;6.874,80 €;372;190,10 €;461;96,90 €;908;69,70 €;16.805;18,10 €;14.332;17,90 €;19.093;14,00 €;74.754;11,90 €;236.948;7,20 €;Fr
04.01.2013;6;20;29;40;45;5;8;15.516.014,00 €;0;0,00 €;2;193.950,10 €;2;50.427,00 €;30;3.103,20 €;245;300,80 €;343;135,70 €;985;66,90 €;12.021;26,40 €;15.343;17,70 €;15.485;17,70 €;87.574;10,60 €;193.691;9,10 €;Fr
11.01.2013;6;31;37;41;49;2;3;16.610.340,00 €;0;0,00 €;0;0,00 €;3;35.989,00 €;22;4.530,00 €;241;327,30 €;349;142,70 €;942;74,90 €;13.312;25,50 €;13.886;20,60 €;15.432;19,30 €;82.355;12,10 €;219.825;8,60 €;Fr
18.01.2013;9;13;21;28;45;6;7;17.486.888,00 €;0;0,00 €;2;426.215,30 €;2;56.832,30 €;26;4.035,40 €;616;134,80 €;610;86,00 €;1.223;60,70 €;21.742;16,80 €;17.491;16,80 €;24.478;12,80 €;87.233;12,00 €;284.454;7,00 €;Fr
25.01.2013;4;13;28;37;38;7;8;23.478.208,00 €;1;29.540.641,50 €;2;293.477,60 €;0;0,00 €;38;3.707,00 €;591;188,60 €;691;101,90 €;1.652;60,40 €;26.275;18,30 €;24.079;16,80 €;30.329;13,90 €;124.435;11,30 €;374.901;7,10 €;Fr
01.02.2013;2;4;14;26;29;6;7;15.725.666,00 €;0;0,00 €;1;393.141,60 €;2;127.412,50 €;28;3.369,70 €;386;193,50 €;511;92,30 €;1.091;61,20 €;17.442;18,40 €;15.252;17,70 €;21.412;13,20 €;76.471;12,30 €;240.472;7,50 €;Fr
08.02.2013;12;14;17;27;43;1;7;15.112.632,00 €;0;0,00 €;1;377.815,80 €;2;49.116,00 €;35;2.590,70 €;377;190,40 €;496;91,40 €;1.264;50,80 €;17.316;17,80 €;18.823;13,80 €;22.161;12,20 €;90.603;10,00 €;239.661;7,20 €;Fr
15.02.2013;4;9;26;32;40;3;5;15.103.722,00 €;0;0,00 €;1;377.593,00 €;2;49.087,00 €;27;3.356,30 €;316;227,00 €;387;117,00 €;1.288;49,80 €;14.247;21,70 €;20.682;14,00 €;17.136;14,00 €;115.346;8,00 €;211.971;8,00 €;Fr
22.02.2013;3;13;41;46;49;3;8;15.232.938,00 €;0;0,00 €;1;380.823,40 €;2;49.507,00 €;19;4.810,40 €;251;288,20 €;351;130,10 €;1.135;57,00 €;13.731;22,70 €;18.543;15,70 €;15.599;15,70 €;98.821;9,20 €;217.775;8,00 €;Fr
01.03.2013;19;28;29;34;44;1;5;16.067.990,00 €;0;0,00 €;0;0,00 €;2;52.220,90 €;32;3.012,70 €;313;243,80 €;423;113,90 €;1.139;59,90 €;13.904;23,60 €;17.895;15,40 €;19.194;15,00 €;97.525;9,80 €;220.927;8,30 €;Fr
08.03.2013;10;12;14;30;43;2;5;17.036.478,00 €;0;0,00 €;5;165.522,30 €;1;110.737,10 €;40;2.555,40 €;344;235,20 €;489;104,50 €;1.588;45,50 €;17.371;20,10 €;23.201;13,40 €;21.514;13,40 €;121.824;8,30 €;256.451;7,60 €;Fr
15.03.2013;4;30;32;41;50;5;7;18.101.602,00 €;0;0,00 €;0;0,00 €;1;117.660,40 €;29;3.745,10 €;266;323,20 €;342;158,70 €;1.253;61,30 €;14.020;26,40 €;18.647;17,80 €;17.012;17,80 €;111.523;9,70 €;227.970;9,10 €;Fr
22.03.2013;5;12;21;43;48;5;6;19.794.766,00 €;0;0,00 €;2;473.704,60 €;1;128.665,90 €;33;3.599,00 €;395;238,00 €;538;110,30 €;1.368;61,40 €;20.896;19,40 €;20.524;16,60 €;24.149;14,70 €;105.509;11,20 €;303.260;7,40 €;Fr
29.03.2013;1;22;27;37;50;5;7;23.322.162,00 €;0;0,00 €;1;583.054,00 €;1;151.594,00 €;38;3.682,40 €;434;255,20 €;543;128,80 €;1.765;56,10 €;21.214;22,50 €;27.521;15,50 €;25.463;15,50 €;153.737;9,10 €;331.119;8,00 €;Fr
05.04.2013;22;31;37;38;41;2;6;26.110.340,00 €;0;0,00 €;2;326.379,20 €;1;169.717,20 €;43;3.643,30 €;417;297,40 €;530;147,70 €;1.757;63,10 €;20.990;25,50 €;29.717;16,10 €;27.268;16,10 €;172.152;9,10 €;327.257;9,10 €;Fr
12.04.2013;8;19;22;32;40;1;8;30.404.148,00 €;1;46.079.338,80 €;5;152.020,70 €;5;39.525,30 €;64;2.850,30 €;737;195,90 €;1.084;84,10 €;2.559;50,40 €;29.403;21,10 €;35.087;14,90 €;41.012;13,30 €;186.437;9,70 €;406.046;8,50 €;Fr
19.04.2013;17;18;22;24;25;1;6;16.628.566,00 €;0;0,00 €;1;415.714,10 €;4;27.021,40 €;32;3.117,80 €;369;214,00 €;554;90,00 €;1.161;60,80 €;15.715;21,60 €;17.156;16,70 €;23.028;12,90 €;88.746;11,20 €;237.939;8,00 €;Fr
26.04.2013;11;14;19;23;49;4;5;15.952.346,00 €;0;0,00 €;1;398.808,60 €;0;0,00 €;24;3.988,00 €;365;207,50 €;452;105,80 €;1.493;45,40 €;17.840;18,30 €;21.066;13,10 €;21.652;13,10 €;105.869;9,00 €;255.083;7,10 €;Fr
03.05.2013;14;16;28;44;48;3;7;15.743.664,00 €;1;13.486.561,10 €;5;85.659,30 €;2;85.659,30 €;42;2.249,00 €;347;215,50 €;456;103,50 €;1.809;36,90 €;16.216;19,90 €;25.915;12,20 €;19.234;12,20 €;139.661;7,40 €;227.622;7,40 €;Fr
10.05.2013;6;9;31;33;35;1;7;14.824.510,00 €;0;0,00 €;0;0,00 €;0;0,00 €;21;4.235,50 €;258;272,90 €;373;119,20 €;1.024;61,50 €;12.949;23,40 €;15.887;16,00 €;17.357;15,30 €;87.454;10,10 €;206.096;8,20 €;Fr
17.05.2013;4;6;10;13;32;1;8;14.691.580,00 €;0;0,00 €;1;737.902,20 €;0;0,00 €;20;4.407,40 €;316;220,80 €;515;85,50 €;1.388;44,90 €;15.287;19,70 €;18.908;13,40 €;22.413;11,70 €;93.343;9,40 €;211.805;7,90 €;Fr
24.05.2013;2;4;9;20;41;3;5;14.792.566,00 €;0;0,00 €;1;369.814,10 €;2;144.003,10 €;27;3.287,20 €;273;257,30 €;355;125,00 €;1.319;47,60 €;13.877;21,80 €;19.467;14,00 €;17.657;14,00 €;111.497;8,00 €;207.854;8,00 €;Fr
31.05.2013;5;9;12;23;40;2;7;15.273.492,00 €;0;0,00 €;3;127.279,10 €;3;33.092,50 €;55;1.666,10 €;483;150,20 €;599;76,40 €;2.251;28,80 €;19.815;15,80 €;27.543;10,50 €;23.648;10,50 €;128.303;7,10 €;254.340;6,80 €;Fr
07.06.2013;6;9;11;29;35;2;6;15.448.268,00 €;0;0,00 €;1;386.206,70 €;3;33.471,20 €;41;2.260,70 €;419;175,10 €;526;88,10 €;1.711;38,30 €;17.553;18,00 €;21.658;12,30 €;23.015;12,00 €;106.140;8,70 €;231.697;7,60 €;Fr
14.06.2013;1;25;46;47;48;3;8;16.194.540,00 €;0;0,00 €;2;202.431,70 €;1;105.264,50 €;16;6.072,90 €;277;277,70 €;334;145,40 €;1.020;67,40 €;13.009;25,50 €;16.294;17,80 €;15.756;17,80 €;99.371;9,70 €;200.909;9,20 €;Fr
21.06.2013;5;14;21;23;50;2;7;16.685.916,00 €;0;0,00 €;0;0,00 €;2;54.229,20 €;29;3.452,20 €;386;205,30 €;462;108,30 €;1.836;38,60 €;17.325;19,70 €;26.356;12,20 €;21.792;12,20 €;134.367;7,60 €;248.186;7,60 €;Fr
28.06.2013;6;8;23;33;49;3;8;18.944.572,00 €;0;0,00 €;2;445.381,10 €;0;0,00 €;35;3.247,60 €;459;196,00 €;526;108,00 €;1.821;44,20 €;20.729;18,70 €;26.379;13,20 €;23.977;13,20 €;128.108;8,80 €;299.330;7,20 €;Fr
05.07.2013;15;16;17;19;50;5;7;21.452.856,00 €;0;0,00 €;1;536.321,40 €;1;262.583,20 €;43;2.993,40 €;440;231,50 €;474;135,70 €;1.746;52,20 €;19.117;23,00 €;26.691;15,50 €;21.838;15,50 €;152.989;8,40 €;304.672;8,00 €;Fr
12.07.2013;7;27;33;47;48;2;7;23.069.824,00 €;0;0,00 €;3;192.248,50 €;0;0,00 €;62;2.232,50 €;681;160,90 €;754;91,70 €;3.245;30,20 €;28.515;16,50 €;39.771;11,40 €;31.301;11,40 €;191.021;7,30 €;354.576;7,30 €;Fr
